Train,Test,Iterations,Accuracy
Strategic,Random,4300,0.93
Strategic,Random,4350,0.79
Strategic,Random,4400,0.85
Strategic,Random,4450,0.93
Strategic,Random,4500,0.84
Strategic,Random,4550,0.88
Strategic,Random,4600,0.85
Strategic,Random,4650,0.83
Strategic,Random,4700,0.85
Strategic,Random,4750,0.85
Strategic,Random,4800,0.86
Strategic,Random,4850,0.87
Strategic,Random,4900,0.88
Strategic,Random,4950,0.85
